country,happinessRank,happinessScore,pop2020
Finland,1,7.769,5540.72
Denmark,2,7.6,5792.202
Norway,3,7.554,5421.241
Iceland,4,7.494,341.243
Netherlands,5,7.488,17134.872
Switzerland,6,7.48,8654.622
Sweden,7,7.343,10099.265
New Zealand,8,7.307,4822.233
Canada,9,7.278,37742.154
Austria,10,7.246,9006.398
Australia,11,7.228,25499.884
Costa Rica,12,7.167,5094.118
Israel,13,7.139,8655.535
Luxembourg,14,7.09,625.978
United Kingdom,15,7.054,67886.011
Ireland,16,7.021,4937.786
Germany,17,6.985,83783.942
Belgium,18,6.923,11589.623
United States,19,6.892,331002.651
Czech Republic,20,6.852,10708.981
United Arab Emirates,21,6.825,9890.402
Malta,22,6.726,441.543
Mexico,23,6.595,128932.753
France,24,6.592,65273.511
Taiwan,25,6.446,23816.775
Chile,26,6.444,19116.201
Guatemala,27,6.436,17915.568
Saudi Arabia,28,6.375,34813.871
Qatar,29,6.374,2881.053
Spain,30,6.354,46754.778
Panama,31,6.321,4314.767
Brazil,32,6.3,212559.417
Uruguay,33,6.293,3473.73
Singapore,34,6.262,5850.342
El Salvador,35,6.253,6486.205
Italy,36,6.223,60461.826
Bahrain,37,6.199,1701.575
Slovakia,38,6.198,5459.642
Trinidad and Tobago,39,6.192,1399.488
Poland,40,6.182,37846.611
Uzbekistan,41,6.174,33469.203
Lithuania,42,6.149,2722.289
Colombia,43,6.125,50882.891
Slovenia,44,6.118,2078.938
Nicaragua,45,6.105,6624.554
Argentina,47,6.086,45195.774
Romania,48,6.07,19237.691
Cyprus,49,6.046,1207.359
Ecuador,50,6.028,17643.054
Kuwait,51,6.021,4270.571
Thailand,52,6.008,69799.978
Latvia,53,5.94,1886.198
South Korea,54,5.895,51269.185
Estonia,55,5.893,1326.535
Jamaica,56,5.89,2961.167
Mauritius,57,5.888,1271.768
Japan,58,5.886,126476.461
Honduras,59,5.86,9904.607
Kazakhstan,60,5.809,18776.707
Bolivia,61,5.779,11673.021
Hungary,62,5.758,9660.351
Paraguay,63,5.743,7132.538
Peru,65,5.697,32971.854
Portugal,66,5.693,10196.709
Pakistan,67,5.653,220892.34
Russia,68,5.648,145934.462
Philippines,69,5.631,109581.078
Serbia,70,5.603,8737.371
Moldova,71,5.529,4033.963
Libya,72,5.525,6871.292
Montenegro,73,5.523,628.066
Tajikistan,74,5.467,9537.645
Croatia,75,5.432,4105.267
Hong Kong,76,5.43,7496.981
Dominican Republic,77,5.425,10847.91
Bosnia and Herzegovina,78,5.386,3280.819
Turkey,79,5.373,84339.067
Malaysia,80,5.339,32365.999
Belarus,81,5.323,9449.323
Greece,82,5.287,10423.054
Mongolia,83,5.285,3278.29
Macedonia,84,5.274,2083.374
Nigeria,85,5.265,206139.589
Kyrgyzstan,86,5.261,6524.195
Turkmenistan,87,5.247,6031.2
Algeria,88,5.211,43851.044
Morocco,89,5.208,36910.56
Azerbaijan,90,5.208,10139.177
Lebanon,91,5.197,6825.445
Indonesia,92,5.192,273523.615
China,93,5.191,1439323.776
Vietnam,94,5.175,97338.579
Bhutan,95,5.082,771.608
Cameroon,96,5.044,26545.863
Bulgaria,97,5.011,6948.445
Ghana,98,4.996,31072.94
Ivory Coast,99,4.944,26378.274
Nepal,100,4.913,29136.808
Jordan,101,4.906,10203.134
Benin,102,4.883,12123.2
Republic of the Congo,103,4.812,5518.087
Gabon,104,4.799,2225.734
Laos,105,4.796,7275.56
South Africa,106,4.722,59308.69
Albania,107,4.719,2877.797
Venezuela,108,4.707,28435.94
Cambodia,109,4.7,16718.965
Palestine,110,4.696,5101.414
Senegal,111,4.681,16743.927
Somalia,112,4.668,15893.222
Namibia,113,4.639,2540.905
Niger,114,4.628,24206.644
Burkina Faso,115,4.587,20903.273
Armenia,116,4.559,2963.243
Iran,117,4.548,83992.949
Guinea,118,4.534,13132.795
Georgia,119,4.519,3989.167
Gambia,120,4.516,2416.668
Kenya,121,4.509,53771.296
Mauritania,122,4.49,4649.658
Mozambique,123,4.466,31255.435
Tunisia,124,4.461,11818.619
Bangladesh,125,4.456,164689.383
Iraq,126,4.437,40222.493
DR Congo,127,4.418,89561.403
Mali,128,4.39,20250.833
Sierra Leone,129,4.374,7976.983
Sri Lanka,130,4.366,21413.249
Myanmar,131,4.36,54409.8
Chad,132,4.35,16425.864
Ukraine,133,4.332,43733.762
Ethiopia,134,4.286,114963.588
Swaziland,135,4.212,1160.164
Uganda,136,4.189,45741.007
Egypt,137,4.166,102334.404
Zambia,138,4.107,18383.955
Togo,139,4.085,8278.724
India,140,4.015,1380004.385
Liberia,141,3.975,5057.681
Comoros,142,3.973,869.601
Madagascar,143,3.933,27691.018
Lesotho,144,3.802,2142.249
Burundi,145,3.775,11890.784
Zimbabwe,146,3.663,14862.924
Haiti,147,3.597,11402.528
Botswana,148,3.488,2351.627
Syria,149,3.462,17500.658
Malawi,150,3.41,19129.952
Yemen,151,3.38,29825.964
Rwanda,152,3.334,12952.218
Tanzania,153,3.231,59734.218
Afghanistan,154,3.203,38928.346
Central African Republic,155,3.083,4829.767
South Sudan,156,2.853,11193.725
